Unnamed: 0,created_at,favorite_count,full_text,id,retweet_count,user.id,user.name
0,2020-11-11,4,International friendly roundup: Finland stun France and Belgium edge Swiss https://t.co/FMSd35RJBQ,1326667371730378753,1,16042794,Guardian US
1,2020-11-11,11,"When Joe Biden formally takes over the presidency in January, he will face some of the greatest crises to hit the US in recent history.

The Guardian's @laurenegambino looks at how @JoeBiden and @KamalaHarris plan to 'heal' the country after four years of Trump. https://t.co/zhiXIwW2Sx",1326666012142526466,5,16042794,Guardian US
2,2020-11-11,4,New Yorker fires Jeffrey Toobin after he reportedly exposed himself on Zoom https://t.co/2LrVf2tAR9,1326663505454510081,1,16042794,Guardian US
3,2020-11-11,8,"One week on: how has Donald Trump handled losing the US election?

From making baseless claims of voter fraud to false declarations of victory, Trump has been criticised for undermining democracy through his refusal to concede https://t.co/LpwzpN8jnO https://t.co/Wb1VQkCRN7",1326661105498796032,1,16042794,Guardian US
4,2020-11-11,13,France pays tribute to six-year-old resistance hero Marcel Pinte https://t.co/g3uwnkUbRk,1326659924278046728,6,16042794,Guardian US
5,2020-11-11,4,Texas politician offers $1m for proof of voter fraud and pushes baseless claims https://t.co/lZsZM5sgPa,1326653259831009281,2,16042794,Guardian US
6,2020-11-11,1,Freaky review – wildly entertaining body swap comedy horror https://t.co/gcjPfPoHPG,1326648600819077120,1,16042794,Guardian US
7,2020-11-11,4,"Trump is refusing to concede, he's doing a coup! | First Dog on the Moon https://t.co/QFXXKP7m4C",1326643808185049089,6,16042794,Guardian US
8,2020-11-11,3,Covid and Thanksgiving: CDC issues warning and bolsters mask-wearing guidance https://t.co/X0KqNhTRT0,1326638306524876801,4,16042794,Guardian US
9,2020-11-11,7,US deports migrants who accuse detention center gynecologist of abuse https://t.co/xpNkOTAF5e,1326633739561078785,15,16042794,Guardian US
10,2020-11-11,0,Masters like no other arrives with golf powering to a crossroads | Ewan Murray https://t.co/oTlX0DB5Zi,1326627387136729088,0,16042794,Guardian US
11,2020-11-11,0,https://t.co/6eZex5NuCY,1326623520676319233,0,16042794,Guardian US
12,2020-11-11,22,‘It must be made to fail’: Trump's desperate bid to cling to power https://t.co/Ipk1oWK6HW,1326619841109913601,13,16042794,Guardian US
13,2020-11-11,0,"Netherlands v Spain, Germany v Czech Republic and more: international football – live! https://t.co/L08cCHIt1i",1326618281701236740,0,16042794,Guardian US
14,2020-11-11,5,"Women footballers left in dark during Covid pandemic, survey reveals https://t.co/aQvkUwdPCc",1326614650952310785,2,16042794,Guardian US
15,2020-11-11,3,Augusta should not have taken 50 years to honour the pioneering Lee Elder | Andy Bull https://t.co/O8BTN6roXU,1326611144233136130,3,16042794,Guardian US
16,2020-11-11,11,‘We’re in power now’: Evo Morales makes gleeful return to town he fled https://t.co/tloQIFBhza,1326607015054102530,4,16042794,Guardian US
17,2020-11-11,2,TikTok asks US court to intervene after Trump administration leaves app in limbo https://t.co/3vUMSwrqa5,1326603537829257216,1,16042794,Guardian US
18,2020-11-11,19,Pressure builds on Trump to concede as Biden pushes ahead with transition plan https://t.co/IhkH8hivQT,1326601353276362755,5,16042794,Guardian US
19,2020-11-11,1,'There will be hundreds of emotions': Georgia glimpse big time at Euro 2020 https://t.co/Tm47SBpExx,1326596516803448835,1,16042794,Guardian US
20,2020-11-11,8,Can Trump actually stage a coup and stay in office for a second term? https://t.co/M3fHqLrTQj,1326592628054503429,8,16042794,Guardian US
21,2020-11-11,3,A congresswoman's predicament: what to wear? Cori Bush and AOC talk it out https://t.co/5CxIwTwTSQ,1326592626011885575,3,16042794,Guardian US
22,2020-11-11,2,Liverpool blow as Joe Gomez suffers injury in England training session https://t.co/0tEPj4z8Rn,1326589014745485312,0,16042794,Guardian US
23,2020-11-11,4,Trevor Noah to Republicans backing Trump’s baseless claims: ‘Is it worth it?' https://t.co/0iqAt50r3N,1326572499065327616,2,16042794,Guardian US
24,2020-11-11,24,Trump's temper tantrum shows why we must stop praising those who don't accept defeat | Adrian Chiles https://t.co/umPE0IoEzZ,1326566772988923905,9,16042794,Guardian US
25,2020-11-11,7,US records more than 1m new Covid cases in past 10 days as infections surge https://t.co/jwmrfLch5G,1326565620075388933,7,16042794,Guardian US
26,2020-11-11,15,Trump under growing pressure to accept election defeat – US politics live https://t.co/DJMamgeOjY,1326563875823751168,3,16042794,Guardian US
27,2020-11-11,4,Trial 4: how a teen spent 22 years in prison for a crime he didn't commit https://t.co/EWz8Lw1qAB,1326559929268899840,6,16042794,Guardian US
28,2020-11-11,29,Trump's refusal to concede follows his pattern of incompetence and delusions | Richard Wolffe https://t.co/fvZCYqn2ne,1326555586792665090,14,16042794,Guardian US
29,2020-11-11,8,Joining the world's first gay rugby team changed my life. So I made a film about it | Eammon Ashton-Atkinson https://t.co/ZG7eRrdR0h,1326554216588931075,2,16042794,Guardian US
